Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0018481944,0.002709242,49.137695,4.9137697,64.53232,28.780342,-5.3264513,-0.0010451601,0.0017732368,0.005133228,-0.006111141,-0.0019396952,0.002694337,0.006753903,-0.0109619675,-5.3472342,0.62327826,-3.0734286,-7.0312414,0.000517298,0.0019991754,0.006055196,-0.0043616886,8.6514134e-05,0.0014620875,0.0048560016,-0.004313439,0.03140364,0.04419952,130.45994790262344,129.5190367675143,131.87295001624898,4000,9630,0,170.9572637192905,0,15.504060186445713,186.4613239057362,207.2517227353528,0
0.0362939,0.12077729,12.088043,1.2088044,93.15439,33.998108,-80.53202,74.46337,19.448586,118.354515,-4.338153,82.87314,14.89339,126.67922,13.257485,-1.8315659,1.8588805,3.9690852,-9.300451,-0.0042843795,0.39733833,1.6216146,-1.5178689,-0.89975846,0.13807341,-0.34284338,-1.3362557,0.031628557,0.046060957,66.37226222637833,60.775333956897185,53.03889765251458,8000,14919,0,180.0679417848587,20.793133252300322,10.971923093311489,211.83299813047051,419.723348679021,1
0.03236581,0.14747652,10.596337,1.0596337,172.89781,47.746407,-139.19568,134.12088,22.113083,190.06119,-8.160587,142.14828,15.948406,193.9191,44.06705,-1.9466462,2.2931225,6.425166,-9.746443,0.072449565,0.54848087,2.2323523,-2.2203293,-0.72677803,0.14867228,-0.26565474,-1.405002,0.02010459,0.0534451,91.52366032509056,89.11749562561087,86.6710472331581,12000,20625,0,169.15474479272962,21.43193812482059,11.14409701898694,201.73077993653715,608.6046168524772,2
0.02205367,0.15590195,10.095022,1.0095023,105.74631,36.23572,-172.7145,163.47935,27.664177,217.34662,-17.724041,171.5185,19.69627,216.4186,39.838085,-2.2703364,1.9818465,4.266975,-8.938649,-0.036696598,0.44487855,1.5703105,-1.7355793,-0.78439534,0.14380445,-0.35265544,-1.5360581,0.024033029,0.09592062,131.85933978545725,157.48286282830222,141.26083048189184,16000,26211,0,131.67596546933055,8.58234466984868,5.406815343536437,145.66512548271567,756.4759819032624,3
0.0285678,0.27591783,5.731266,0.5731266,169.98941,27.863348,-197.70547,193.0455,26.593512,249.70213,-7.5010386,197.59317,20.489937,257.39398,75.30591,-2.385459,2.0013492,7.5339355,-10.192894,0.00490471,0.41822985,1.9074178,-1.8498913,-0.78622824,0.14786234,-0.2782109,-1.5447325,0.042177577,0.083899364,149.6599702494226,148.2465864037134,142.63920505266458,20000,31944,0,129.43776572030038,10.78875483572483,5.895741952583194,146.1222625086084,903.4124774141237,4
0.026640633,0.24737652,6.400688,0.6400688,81.19999,28.88121,-213.19289,208.85391,26.585667,270.9028,-4.546607,212.08878,22.49704,269.87485,61.71904,-2.377475,2.0620582,12.004864,-11.992453,-0.008603266,0.419599,2.1727817,-2.1518717,-0.7915888,0.14960742,-0.26575166,-1.7412556,0.5392984,0.05903392,169.073818610232,172.8519413809413,152.48656944418528,24000,37654,0,128.9949438739568,11.603695957921445,8.262560765258968,148.8612005971372,1055.233741786331,5
0.26767677,0.10147798,13.631312,1.3631313,83.24571,22.023657,-229.45187,225.76785,28.262299,303.15344,-21.016375,228.54953,24.010242,288.39975,120.44438,-2.4768724,1.9350333,9.847282,-10.581044,-0.02025849,0.38062662,1.631548,-2.370469,-0.8070975,0.14874618,-0.32877356,-2.1622066,0.98700154,0.07203891,181.01636090995024,160.9716087019317,162.32942864373433,28000,43021,0,136.66661483701319,14.563308715820312,7.1355700781568885,158.3654936309904,1215.3173024980351,6
0.37458444,0.13795722,13.223082,1.3223082,70.82891,22.743805,-244.52815,241.61707,32.107265,310.0697,-14.904465,245.62935,28.726292,303.6623,12.03888,-2.295777,1.9888531,11.060602,-8.88666,-0.03607554,0.3953347,1.9451375,-2.4863913,-0.8245037,0.14925116,-0.33708817,-1.9030772,0.2872261,0.043034054,168.64938554810846,164.40840525356003,137.55944823111173,32000,48443,0,170.8907647477463,16.281369065865874,10.453040813095868,197.62517462670803,1415.4859447237104,7
0.7456882,0.13463058,19.387646,1.9387646,67.25717,28.413021,-267.44983,262.8142,34.790863,333.69638,-15.215039,268.6284,29.644089,334.3467,45.21698,-2.088187,2.050626,9.498131,-9.801413,-0.0062696785,0.41412845,2.2717175,-2.4551487,-0.83163416,0.1450347,-0.39360866,-2.2009451,0.9872632,0.048399247,178.6060446113704,147.3865945698689,125.05513651428645,36000,53789,0,162.3736519459635,18.825640148483217,9.90983622893691,191.10912832338363,1601.6449841689318,8
0.40159756,0.057837475,19.775635,1.9775635,171.26224,55.264565,-260.58527,255.71948,36.14873,349.49362,-106.37823,263.205,30.536943,342.1295,45.632595,-2.399814,1.9992,11.340477,-10.696618,0.02779779,0.39190465,2.0905278,-1.7492975,-0.808154,0.1421475,-0.36231118,-1.8686295,0.68062866,0.040198546,163.9956395113552,162.87081755061837,147.1200525390051,40000,59281,0,171.6908050775528,13.874993221834302,8.571890212595463,194.13768851198256,1801.5143856881186,9
0.22003655,0.07402633,18.532887,1.8532887,109.92684,35.58453,-282.3997,278.76147,34.992752,352.5261,-67.1269,281.54065,29.708433,344.90366,121.58127,-2.2273495,2.0639706,14.414173,-10.18853,-0.012180901,0.40206632,1.8843609,-1.7996223,-0.83867276,0.14944713,-0.36660355,-1.985135,0.6324501,0.033692926,188.02065918382806,163.1842171529958,120.72177018323981,44000,64540,0,174.36530200671405,19.60808851569891,10.91012111492455,204.8835116373375,2005.9052434042096,10
0.6159978,0.042668324,25.58456,2.5584562,109.39502,50.443947,-287.6732,286.65533,36.771656,368.29654,-22.993225,290.60577,31.84325,364.3869,111.67768,-2.4142528,1.9276094,7.5971484,-9.328068,0.03632621,0.39026153,1.7945771,-1.8426768,-0.81655324,0.14029473,-0.35245144,-2.0057077,0.9705801,0.04224635,187.87801475084524,158.0372694731136,116.51143074487477,48000,69974,0,172.46229160763323,19.114401117898524,10.230274462141097,201.80696718767285,2205.552222260274,11
0.23019311,0.05435695,21.461046,2.1461046,164.0839,68.453735,-301.32562,296.75555,37.74952,363.52734,-35.646275,298.43518,32.58156,364.0079,94.48482,-2.2967505,1.9915202,13.393733,-10.414846,0.029092446,0.38833526,2.1547797,-2.441805,-0.83699995,0.14461248,-0.20240328,-1.8032287,0.8725414,0.036776684,214.5036157271114,213.43139966116996,147.13895079564617,52000,75629,0,171.2212760709226,16.954706174321473,12.569568769074976,200.74555101431906,2410.0743912532926,12
0.27581635,0.062245954,21.436243,2.1436243,116.675865,43.563694,-317.11456,314.8252,48.17623,427.85724,-29.870308,317.68793,41.02704,423.87042,84.783195,-2.0816169,2.229284,16.799896,-11.442656,0.009822104,0.4083822,2.5825737,-2.1130123,-0.85608876,0.16422907,-0.32209146,-2.1457136,0.42836642,0.034800645,227.28875983857984,223.10410374995126,151.7991334743815,56000,81178,0,171.54093113355339,20.73302858695388,10.975494414567947,203.2494541350752,2610.6812115460634,13
0.4704632,0.061516453,21.977993,2.1977994,140.32285,49.64082,-323.207,321.5122,43.153015,403.00034,4.3559146,325.29895,38.72943,404.7178,115.44698,-2.226468,2.1110518,17.297401,-11.381906,-0.023942597,0.3905902,2.7875783,-1.946912,-0.8468191,0.14358097,-0.22669317,-2.267971,0.40714654,0.03399609,217.32945587127264,220.1430275459674,164.685307350325,60000,86764,0,170.74730422534049,18.08897023834288,9.156101252883673,197.99237571656704,2811.64382972382,14
