Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.002903876,0.0027078593,122.85812,122.85812,37.69786,28.954905,-5.3464026,0.006268961,0.0021319005,0.013789915,-0.00042694993,0.0015370222,0.0014152357,0.008402871,-0.0027232901,-5.3697295,0.62232184,-3.3346958,-7.9186997,0.00013176292,0.0021357867,0.005246334,-0.006864296,0.0004549815,0.0013804476,0.0043002376,-0.004583094,0.096495196,0.24856794,-392.4512018819694,-379.4029050809508,-350.0784976001356,4000,305000,0,275.66917908843607,0,402.08589718770236,677.7550762761384,697.750269651413,0
0.1475194,0.89260864,1.2432654,1.2432654,7.8707213,3.219273,-19.148314,13.542737,18.756557,31.759853,-104.76569,18.154379,19.32113,36.84791,-101.4727,-5.385209,0.5278313,-2.7275863,-7.692893,0.000896676,0.112749025,0.5718659,-0.63403964,-0.09908445,0.016488438,-0.013307389,-0.16281526,0.50862753,0.17183423,-453.2907024581388,-454.58878520193207,-369.3596689857019,8000,310000,0,271.42915843147784,19.998759445734322,10.200883012264967,301.62880088947713,996.296477664262,1
0.25426865,0.6794977,3.410203,3.410203,18.798054,4.098081,-32.716038,27.471506,35.732838,72.88947,-151.5016,31.4204,36.19862,77.72693,-149.38335,-5.4064713,0.50281125,-2.8248231,-7.7590833,0.005517033,0.10336283,0.5138883,-0.6689116,-0.11756138,0.018899497,0.016005699,-0.17480327,0.6460164,0.21876946,-739.8818422789317,-721.6817504488951,-369.5232194758918,12000,315000,0,273.16004858817905,16.916104222647846,8.119760035537183,298.1959128463641,1298.4240043032914,2
0.8515337,0.71144897,8.175938,8.175938,43.475166,3.5845933,-33.089676,28.205236,60.912525,111.39806,-374.8026,32.56949,61.293724,115.998726,-374.38812,-5.1850233,0.88985085,-0.5180557,-8.8231945,0.004023268,0.2298615,1.1252778,-1.12978,-0.13734177,0.026510937,0.026895307,-0.28092685,0.6920774,0.117897354,-594.4346296054275,-592.8001095717525,-390.7958401320441,16000,320000,0,281.3388121696189,20.848679813556373,9.323163514956832,311.5106554981321,1607.9141669981182,3
0.6556826,0.7000936,13.093304,13.093304,58.378014,7.9700456,-26.855722,22.123112,62.32279,104.24419,-264.53696,25.756168,62.87136,106.612144,-265.50845,-4.933696,1.1194162,0.46766078,-9.475275,-0.009409001,0.31354403,1.2630627,-1.3428825,-0.16158697,0.039124794,-0.034965426,-0.41479144,0.8286368,0.15382628,-550.0752608444,-568.626359508004,-389.4489992994222,20000,325000,0,270.18297198601067,18.82985439710319,8.265136788599193,297.27796317171305,1908.409802513197,4
0.5869853,0.8335136,14.276312,14.276312,74.39536,8.156138,-38.68571,33.722218,78.103966,163.33119,-299.71283,38.56495,78.91628,169.23643,-307.24472,-4.852842,1.2496423,3.483807,-9.741282,0.03183416,0.32870212,1.7602147,-1.5706991,-0.17045416,0.044559266,-0.0372717,-0.4827375,0.307917,0.08487773,-612.0296689635379,-610.9230023994919,-364.40271507709707,24000,330000,0,303.53030169475824,22.04587339423597,10.274746485985816,335.85092157498,2245.9712753025815,5
0.3561911,0.9040669,16.1879,16.1879,82.60013,22.403736,-46.074814,41.20764,98.18492,195.27866,-509.67365,43.79805,98.730385,195.99384,-530.028,-4.809985,1.2610593,3.4813333,-10.040728,-0.0045085303,0.34433225,1.6237984,-1.497689,-0.17419739,0.048540063,-0.019165926,-0.5416895,0.4205598,0.11243124,-415.4510092035209,-440.1431830837972,-353.1818916921047,28000,335000,0,277.4801644338295,23.75640151463449,10.812976009212434,312.0495419576764,2551.8780113700777,6
0.6803694,0.70045984,24.68351,24.68351,98.64797,12.983927,-52.55225,47.73417,118.19936,200.17424,-738.4295,53.412994,118.534874,206.619,-735.14294,-4.7229943,1.3543608,2.76095,-10.629537,-0.016922437,0.365628,1.9313958,-1.7968119,-0.17904565,0.051975004,0.034521773,-0.5199785,0.5475748,0.1541876,-514.6668708639343,-598.5391380681316,-372.8264459829263,32000,340000,0,284.0322796041146,17.61229127831757,9.71329421363771,311.3578650960699,2867.749623333104,7
0.3244124,0.5224054,31.229624,31.229624,112.70725,17.421696,-38.76384,33.289642,115.76791,208.18135,-492.9756,38.12851,116.49885,217.82375,-495.62662,-4.799954,1.3168408,3.1200233,-10.128645,0.03460644,0.34562108,1.7355529,-1.7805928,-0.18101582,0.04955671,0.046832338,-0.48450097,0.51683605,0.1634418,-729.9756264944644,-733.4356796736259,-374.457555567335,36000,345000,0,283.18873622454703,22.127015886828303,10.437933997251093,315.7536861086264,3182.3339935634285,8
0.55324113,0.6172105,17.587185,17.587185,109.880455,19.238535,-17.611217,11.610609,111.73328,138.27342,-798.70953,17.06856,109.9934,145.34378,-788.8427,-4.8431892,1.2498163,2.2179368,-8.830108,0.0070266454,0.33657828,1.827743,-1.6812918,-0.18615279,0.04928816,0.025169387,-0.4921949,0.25852427,0.12064797,-545.8384245364273,-518.229850559329,-382.7136905865843,40000,350000,0,279.20015346910805,20.956750731915236,9.03726717364043,309.1941713746637,3489.4972202153876,9
