Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0034106784,0.006933694,99.45777,9.945777,22.72406,16.24366,-3.9939606,-0.0042798757,0.0012089313,0.0016462307,-0.011210273,-0.000548204,0.0013729811,0.0038820743,-0.005375927,-4.017764,0.5360895,-2.0984042,-5.6979527,-0.00084106025,0.0010278374,0.0027235888,-0.0050096083,0.00037460335,0.0013984479,0.005562586,-0.003385873,0.030388976,0.07068716,1.6682481327489829,6.250296050474411,1.6691266759637984,4000,205000,0,349.91234076581895,0,385.4400630313903,735.3524037972093,764.682217235677,0
0.062734425,0.8906773,0.2553966,0.02553966,24.715899,4.134814,-66.40126,60.105854,15.433911,123.17671,1.8684137,65.77962,14.702221,125.75321,12.298747,-2.3353953,1.8510888,4.469577,-9.574532,0.07724609,0.6330292,1.8956875,-1.9523022,-0.2730446,0.10772369,0.22777155,-0.74208057,0.50973606,0.09589934,40.7349570208849,35.66873455998292,33.141847094377304,8000,210000,0,359.4277017591521,29.33311221189797,9.365025972947478,398.12583994399756,1164.7239604145288,1
0.5147928,0.45274726,18.592442,1.8592442,28.76255,8.607309,-163.25066,154.74535,17.755032,250.66751,83.154366,162.4428,17.852041,248.26706,91.63231,-0.12901425,2.504422,9.076612,-8.548819,-0.10200918,0.9689186,2.1196089,-2.1133754,-0.3154073,0.15564936,0.39644203,-0.8161931,0.041183986,0.12368916,233.10205113848156,170.44041915708658,211.19140659093756,12000,215000,0,343.0561289731413,31.24905668012798,8.143787209875882,382.4489728631452,1552.9039766611531,2
0.65987885,0.47766685,20.27839,2.0278392,36.62819,10.88814,-274.85757,267.33536,29.179998,362.10217,168.65974,275.45172,29.842855,375.25873,169.43977,-0.8463208,2.3423035,8.289751,-10.663992,-0.05749675,0.8601489,2.835334,-2.173953,-0.34240672,0.18219478,0.35075438,-1.2371786,0.9345808,0.18306342,306.3725946038123,251.5851915874935,264.1264551026891,16000,220000,0,257.1256971117109,36.979420400224626,10.859787119552493,304.964904631488,1837.1190277570859,3
0.08105357,0.5008608,20.824009,2.082401,39.43234,13.754938,-329.05725,321.36057,44.163166,440.3445,183.58215,328.07333,44.957798,447.95483,192.39,-1.2708563,2.2295406,8.110933,-8.689602,-0.014344861,0.78144467,2.5422993,-2.04839,-0.35008472,0.19766875,0.35969636,-1.3831993,0.93049544,0.14454956,381.00464734193883,354.4143167219477,345.0573910162781,20000,225000,0,239.29671403206885,16.22966631501913,4.683470870368183,260.20985121745616,2103.101285552606,4
0.6098689,0.5572592,21.373909,2.1373909,57.51915,15.653907,-407.10516,395.65814,52.732353,525.6837,202.36414,405.60507,53.980816,529.55695,212.79538,-1.1434361,2.2284951,6.897395,-9.710254,-0.010459164,0.78613317,2.6782775,-2.5106504,-0.40745658,0.22097099,0.2762968,-1.5561877,0.89775217,0.117981054,410.395901665769,389.5602562001557,385.2484678424547,24000,230000,0,329.7938722977415,22.002064168453217,6.185019868426025,357.9809563346207,2469.4454790242016,5
0.33620092,0.35993454,21.898827,2.1898828,28.249392,12.16435,-408.8524,400.33847,54.333252,590.2079,263.02747,407.9483,55.61694,596.18195,266.41367,-1.2301714,2.06288,7.4970045,-9.307885,-0.0563931,0.76997435,2.1324828,-2.2559164,-0.38931277,0.19737294,0.43931928,-1.6313256,0.48450765,0.09065615,463.50499390326496,441.4434053956078,435.6380057784057,28000,235000,0,359.6155705694109,30.365332161076367,11.495384431444108,401.4762871619314,2866.2029156628996,6
0.6115339,0.45655304,23.752703,2.3752704,43.526306,25.232174,-478.6301,470.95245,91.7401,828.52856,249.55795,478.70517,91.42613,828.9674,261.16602,-0.98359776,2.187245,6.663108,-9.431444,-0.07560889,0.8003042,2.2295632,-2.3523355,-0.41185614,0.20754,0.28141254,-1.6970036,0.8485816,0.08354185,422.1819603700593,375.04085363354625,423.3553617309764,32000,240000,0,343.9549234183505,25.647306094877422,5.495688864029944,375.0979183772579,3248.281107264571,7
0.087742016,0.302423,29.025187,2.9025187,32.55113,12.116904,-502.35098,494.914,117.06233,898.86914,261.3206,502.28384,117.170525,897.0815,265.81137,-0.7868085,2.2885785,6.9134264,-8.786021,-0.091405414,0.8350636,2.429912,-2.1184826,-0.41316,0.21552438,0.31680113,-1.7093976,0.5726937,0.078672156,475.36942478372555,478.27457043268134,470.9904194025709,36000,245000,0,338.2945258617401,32.62707241252065,10.151613713242114,381.0732119875029,3633.0915252873674,8
0.32812884,0.3084603,38.639275,3.8639276,55.372196,24.423029,-575.2812,567.2909,163.95773,1051.7236,245.94046,573.94116,162.29318,1042.9879,243.12035,-0.6391144,2.3000884,9.013917,-8.080553,-0.10174063,0.8434876,2.676218,-2.6634986,-0.43196315,0.22496478,0.3120818,-1.7324708,0.6097497,0.073274925,489.00457590173227,490.27470567978287,475.12562154874803,40000,250000,0,345.9482744624838,36.364248416386545,9.925624671392143,392.2381475502625,4008.7760118460283,9
0.47501332,0.25698525,45.8084,4.58084,52.009846,16.205612,-607.3914,596.8136,165.95241,908.6406,162.13293,607.21106,168.73122,916.6312,167.66724,-0.65079415,2.276207,6.98179,-9.390823,-0.084893465,0.8321118,2.4954765,-2.3931441,-0.43702093,0.23777388,0.2440534,-1.9160138,0.92211515,0.07476975,560.6781867172933,545.5135404974322,486.9604698684322,44000,255000,0,359.2573542157188,19.811343325302005,6.248703086748719,385.31740062776953,4410.739190908149,10
0.42075562,0.35576767,41.668285,4.1668286,63.6214,23.118788,-643.23926,634.04065,171.35718,1023.0139,231.38629,643.45135,175.98053,1020.51245,227.53693,-0.51215816,2.3083076,8.166107,-8.331623,-0.08318085,0.8583521,2.3683734,-2.3364704,-0.43683797,0.22084782,0.26575574,-1.7460784,0.4158062,0.05360188,521.4139006068581,523.7158195499921,506.7867942502021,48000,260000,0,329.2252490092069,36.45742032583803,7.59351113345474,373.27618046849966,4782.083265041001,11
0.7351554,0.36590314,46.458588,4.645859,71.844666,28.75879,-819.2224,807.944,162.24995,1240.6722,248.02846,821.7643,163.64883,1243.4697,254.71634,-0.37231708,2.4989405,8.382332,-8.821171,-0.05921192,0.87021136,2.5387256,-2.363098,-0.49053156,0.24790931,0.24927315,-1.8542753,0.45129576,0.0687528,519.7921409237445,510.8825144956513,551.4243708824557,52000,265000,0,336.77066729869694,34.525266009382904,9.800128788687289,381.0960620967671,5157.052646637894,12
0.37193084,0.26121813,39.60476,3.960476,56.568428,24.943745,-708.0873,698.9784,213.81654,1281.5587,267.38522,710.23193,215.31728,1282.4032,280.027,-0.43846303,2.384426,7.572768,-8.757271,-0.09862936,0.86492586,2.4840572,-2.6107695,-0.45748058,0.23116241,0.38220376,-1.8329096,0.36731187,0.057014037,447.4573094383748,443.22294304499553,551.6095502868845,56000,270000,0,356.67604762036353,28.398078690283,11.363457831554115,396.43758414220065,5552.5648014182225,13
0.39634058,0.2689573,37.58874,3.7588742,134.34918,38.103085,-645.2915,632.1084,168.48042,1052.916,284.93875,645.1463,172.61845,1081.0267,284.45468,-0.537161,2.3211017,7.2972975,-9.195392,-0.10032844,0.8701717,2.4064136,-2.3412464,-0.4121969,0.20892446,0.34721833,-1.7072701,0.4772852,0.06574218,693.88451826284,690.3702738570698,584.8061274879406,60000,275000,0,305.46366636641324,27.472479430027306,6.438618799671531,339.3747645961121,5886.707367465831,14
0.6466569,0.37231314,45.24311,4.524311,56.35794,53.33692,-799.961,792.90936,244.0915,1386.9886,357.69742,804.3075,245.12383,1393.1128,378.0637,-0.25564474,2.5547006,9.423681,-10.819153,-0.10064822,0.89621335,2.6660964,-2.203853,-0.45922458,0.23176518,0.22878319,-1.7851721,0.3549827,0.05715859,660.8185879441156,656.8989235840903,590.4461681734468,64000,280000,0,238.10684796329588,22.240831379778683,6.143855816684663,266.4915351597592,6154.552729237825,15
0.4780365,0.32702303,52.77575,5.277575,114.861244,39.274563,-881.5668,871.9787,323.4136,1541.1494,183.36893,883.7264,324.3335,1540.2704,196.53018,-0.1993976,2.5563629,12.986476,-8.381256,-0.10444179,0.89692014,2.7533715,-2.6148078,-0.4692517,0.24547863,0.19026494,-1.9995782,0.31081098,0.057881214,619.1742748498365,616.486945834397,596.5184582587565,68000,285000,0,253.53822886757553,23.59605474025011,5.425025588832796,282.55930919665843,6445.99411347881,16
0.490422,0.3420542,48.602707,4.860271,89.50307,32.68182,-1012.5584,999.4575,223.08282,1475.5303,299.81628,1012.6244,223.50673,1482.9524,290.85257,0.100284554,2.625001,8.757893,-14.186609,-0.06752286,0.92244965,2.882794,-2.4023144,-0.51191235,0.25617298,0.26668483,-1.8890011,0.27211854,0.062619835,661.8537735224963,655.806462264671,636.2992880496577,72000,290000,0,335.12379550002515,32.47757377009839,10.53634613379836,378.1377154039219,6812.449992703274,17
0.632628,0.36667073,53.42035,5.342035,95.09602,32.330273,-1108.8069,1100.1748,290.8855,1620.4117,404.12964,1109.0797,289.88617,1623.0281,410.77658,0.08745619,2.6643348,10.758085,-9.614335,-0.13728075,0.9121031,2.6304498,-2.6478972,-0.50396496,0.258734,0.19475281,-1.9772947,0.27539128,0.054780114,527.4854783314986,529.6827677034713,634.6851380877421,76000,295000,0,330.40946560166776,20.79476799350232,5.703486934304237,356.9077205294743,7183.638285364024,18
