Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.005591715,0.0069250925,159.18282,15.918282,323.15967,16.235256,-3.9860919,0.0005634037,0.0025547934,0.008588656,-0.00717198,-0.0073236404,0.0021892034,-0.0016609237,-0.017561978,-4.0061636,0.5365811,-1.8200401,-6.345661,6.097405e-05,0.0014272754,0.0054289806,-0.004654886,-0.00036354145,0.0015032447,0.0051677395,-0.0046404167,1.077524,0.029535223,-658.4404377578643,-661.6047477752711,-342.9953809756945,2000,205000,0,178.22885722108185,0,246.8195006037131,425.04835782479495,436.59875589609146,0
0.7983464,0.19059034,89.488525,8.948853,22.063698,4.8062124,48.49364,-53.19863,45.69111,0.86814445,-138.63315,-48.594078,45.7602,5.8965335,-138.46567,-3.314602,1.2071798,2.7052102,-7.8015842,0.1236876,0.38721463,1.4214938,-2.4741807,-0.25556687,0.10236779,-0.09776767,-0.91547453,1.1747668,0.041156013,-156.2507598272676,-159.01994329346002,-346.6986590727066,4000,210000,0,179.7045560181141,11.554025864228606,6.540337874554098,197.7989197568968,633.9445511838421,1
0.51068,0.30510145,86.20522,8.6205225,44.575325,7.534011,81.218956,-87.19737,98.446594,10.834412,-288.3933,-80.39473,96.5055,15.629675,-286.15326,-2.8242126,1.6557124,4.065867,-9.601268,0.1365722,0.49606082,2.0055745,-1.7697947,-0.2909456,0.13991146,-0.0824621,-0.7980355,0.98967266,0.04678178,-339.15699120422937,-341.7808841560667,-289.4721226311135,6000,215000,0,161.80581891536713,11.099905220791698,6.325818344019353,179.23154248017818,812.7226894916967,2
0.58741564,0.43260416,95.18407,9.518407,55.58068,9.166679,140.3965,-147.34618,138.53584,20.091284,-377.2577,-141.42796,136.81317,22.698711,-364.016,-2.3629308,1.9683676,6.4536247,-10.17522,0.06797097,0.5876306,2.2142766,-1.7888813,-0.3334434,0.17410986,-0.024535932,-0.974888,1.0032866,0.04895996,-257.4366996488689,-225.5968110469752,-303.29194031524884,8000,220000,0,174.96431017294526,10.647192953154445,6.029410602524877,191.64091372862458,1005.352835166268,3
0.897473,0.25960168,91.84822,9.184822,41.346394,10.853706,133.53085,-139.26501,182.1335,29.126667,-450.51508,-132.29591,179.47772,32.031612,-440.40643,-2.571261,2.0729668,7.762663,-9.068199,-0.05002439,0.5544303,2.0448227,-2.3482578,-0.32325932,0.19726382,0.23463519,-1.290009,1.1250579,0.06304055,-192.39971193638172,-169.10907931161813,-173.88341469753772,10000,225000,0,180.6780370241031,11.636437349952757,6.599179875105619,198.91365424916148,1204.9018760873005,4
0.80945283,0.23651402,90.29343,9.029343,48.985542,12.716484,171.36285,-177.92734,205.13826,38.252533,-514.458,-170.11688,202.38242,41.15532,-504.6182,-2.1650496,2.3142023,8.363059,-10.207106,-0.014086731,0.6249268,2.4200623,-2.2102482,-0.3528986,0.21934555,0.15194038,-1.5796342,1.0249513,0.077236876,-145.33391322928793,-131.2523461774397,-138.18422420227145,12000,230000,0,169.29529195092618,12.272221178747714,6.882776929065585,188.45029005873948,1391.3957512760535,5
0.612414,0.54744303,85.00226,8.500226,42.727646,9.784469,132.12665,-138.29665,220.23415,46.09034,-634.61865,-131.31528,217.36934,49.86759,-627.9744,-2.345186,2.3261857,8.814209,-9.921593,0.011064126,0.5882814,2.386425,-2.4904199,-0.33988014,0.22320549,0.1819867,-1.759493,0.99911916,0.087184615,-158.8354231787359,-129.97763113541924,-107.3225813424046,14000,235000,0,170.39271739125252,10.315711665898561,5.6408401457592845,186.34926920291036,1578.8672025259584,6
0.495372,0.5157602,86.796005,8.679601,45.14257,12.485319,178.68826,-185.72101,253.45383,51.756207,-678.21173,-178.70969,250.2209,53.95458,-684.5299,-2.2354958,2.2591481,10.266125,-10.700282,-0.0005627281,0.6014097,2.471085,-2.37104,-0.3597001,0.22221316,0.12322116,-1.7946792,1.206671,0.07598942,-102.68156788660576,-117.94398644775313,-113.6937722012512,16000,240000,0,176.0029922137037,11.439085265621543,6.908760583028197,194.35083806235343,1773.9960473049432,7
0.8578674,0.27156544,97.10187,9.710187,47.865585,16.901445,219.31,-227.98294,274.5956,58.59235,-812.57416,-221.59744,272.84988,62.152843,-814.5215,-1.993622,2.368068,9.135914,-10.546978,-0.0034773313,0.64023864,2.5799928,-2.5154111,-0.38888273,0.22512278,0.02706857,-1.8263004,1.1109732,0.102150634,-92.61447047200443,-88.41485055719019,-109.72691890572173,18000,245000,0,181.30464722961187,12.215971224941313,6.799524561502039,200.32014301605523,1974.3320792540908,8
0.5281892,0.524302,82.21126,8.221126,34.50143,7.64174,111.778175,-118.82993,255.57037,66.72925,-816.55096,-112.62943,252.87181,70.46394,-816.30585,-2.5969076,2.1014686,9.0424,-8.947389,0.008421253,0.5342122,2.5787396,-2.507787,-0.34490308,0.21659116,0.024078757,-1.9009717,1.4468403,0.09144966,-169.9083126688694,-149.09051257608357,-138.49744203272292,20000,250000,0,118.49270177353173,12.232346259988844,6.939242489635944,137.66429052315652,2106.587123950012,9
0.5253051,0.38479632,105.06305,10.506305,46.6821,10.174177,218.67447,-225.70181,329.91095,74.97869,-982.3156,-218.54434,327.25748,77.13358,-984.18085,-2.367426,2.160858,6.156189,-10.992838,0.027996236,0.57877994,2.4919686,-2.3598182,-0.35735908,0.2231935,0.06756589,-1.7909645,1.1773123,0.08532121,-185.6148835069982,-156.3607063131318,-100.61121874351036,22000,255000,0,114.60125223174691,6.824166147038341,3.6162378704175353,125.04165624920279,2231.5561933219433,10
0.54240274,0.4397849,97.431656,9.743166,52.786457,18.431885,209.1207,-216.40869,319.15222,72.40987,-960.609,-210.36102,318.16528,75.28507,-972.2878,-2.309462,2.1556678,7.2963057,-8.790747,0.023334747,0.58517957,2.4110222,-2.4127133,-0.37173507,0.22406153,0.044555083,-1.8610469,1.089956,0.11225345,-110.60438692689475,-120.79709466496698,-132.37066727130815,24000,260000,0,119.78829199075699,6.750788954086602,3.7413132824003696,130.28039422724396,2364.0904050394893,11
0.8079316,0.64636004,85.08542,8.508542,39.721222,15.127916,158.77003,-164.4471,299.8294,86.2746,-956.54144,-156.89993,297.35947,88.99742,-952.55273,-2.4436827,2.0648286,8.208209,-8.353663,-0.003848017,0.5503712,2.545852,-2.3136601,-0.3690199,0.22609217,0.07066469,-1.861619,1.0868229,0.091170534,-43.7116129602308,-45.2574380283442,-112.42890994137365,26000,265000,0,119.43597529176623,9.00698636379093,5.334955513477325,133.77791716903448,2495.406632905826,12
0.4697422,0.6032402,74.92085,7.4920855,37.24525,8.730573,131.64406,-138.25363,308.56265,83.54251,-1057.0687,-132.17976,306.8711,85.95646,-1062.5062,-2.591742,2.0034404,7.3383026,-10.786159,0.025145931,0.5241416,2.827718,-2.4321387,-0.36065426,0.21871471,0.08474994,-1.9409491,1.0189342,0.077636674,-113.11319212976191,-106.20426691549332,-109.13782879170795,28000,270000,0,115.18443422578275,6.54280465003103,4.010680270381272,125.73791914619505,2623.930441892706,13
0.6463356,0.25652438,97.72084,9.772084,57.646515,14.282976,256.1018,-263.93372,342.82513,85.53236,-1061.2994,-254.69667,338.8201,88.727715,-1053.4492,-1.9833606,2.3608334,7.636,-16.098883,-0.02266209,0.6354892,2.6235816,-2.2755003,-0.40163174,0.23843764,0.08364007,-1.9973564,0.94496334,0.12621367,-73.8816437477158,-77.68324609476504,-126.7932576806837,30000,275000,0,159.60121206007898,9.329765684902668,4.993096737191081,173.92407448217273,2799.286160646938,14
0.9446451,0.32239112,96.4649,9.64649,63.608208,15.215494,288.60165,-296.62537,333.50427,88.022705,-1213.5842,-287.29285,330.3654,91.84982,-1206.8108,-1.8917888,2.3429828,8.697545,-9.108115,-0.0069912984,0.64864767,2.5100195,-2.5170782,-0.4168876,0.24533074,0.16099241,-1.9119924,1.1610453,0.10864307,-86.166954933558,-88.9772755518513,-133.09631044598046,32000,280000,0,170.6944390423596,10.761629576794803,6.243014303036034,187.69908292219043,2988.1779471589252,15
0.7167341,0.2630357,111.67943,11.167943,53.647396,18.009642,291.62305,-298.26907,343.07593,92.13695,-1195.0858,-290.30957,340.55115,95.01366,-1198.5295,-1.8368832,2.4278934,8.201017,-11.584708,0.015127274,0.6497936,2.718859,-2.5337422,-0.40994313,0.24869265,0.21542823,-1.9293977,0.95850736,0.076022305,-48.88525167930167,-54.38181935290925,-133.53167208935741,34000,285000,0,177.66664428077638,11.952837229706347,6.466979649849236,196.08646116033196,3183.114964377135,16
0.45475283,0.61573243,98.26902,9.826902,54.111713,13.631592,271.4807,-280.10608,328.45468,96.86275,-1249.2264,-271.92252,324.86627,98.96682,-1254.8662,-1.7340662,2.5278585,11.728645,-8.486713,0.004393164,0.6670793,2.8289425,-2.5425153,-0.41848803,0.2483182,0.087867364,-1.9308316,1.0869622,0.080334134,-90.1408008743289,-102.11295808906621,-132.77658348522004,36000,290000,0,163.31390033103526,10.803184144198895,6.053767789155245,180.1708522643894,3362.619566570036,17
0.41456184,0.62169707,96.422775,9.642278,53.659096,13.920181,275.18604,-283.50546,337.66937,100.285965,-1212.9508,-276.61383,335.56332,102.6973,-1206.2799,-1.8141303,2.3992918,8.8075485,-8.786849,0.008939851,0.6472012,2.4812088,-2.459583,-0.42694184,0.25214437,0.23096952,-2.027165,0.94113255,0.08016126,-30.854757597331364,-32.710697580044716,-151.93316637437334,38000,295000,0,163.46280418802053,10.137133698910475,5.239209492690861,178.83914737962186,3542.941756360233,18
0.38586432,0.5186716,91.16835,9.116836,62.88204,18.835293,263.22302,-271.20517,320.39612,99.73638,-1228.4069,-261.5733,315.87857,104.155624,-1219.5781,-1.6513283,2.5321214,9.883258,-10.508343,0.003486976,0.674733,2.9899309,-2.6876833,-0.44522405,0.2555615,0.09657422,-1.9407516,0.7847222,0.12314707,-79.2673746025219,-91.02829190973446,-189.02305272440486,40000,300000,0,178.2055534608662,11.620961639098823,6.590669231489301,196.41718433145434,3739.0568892965093,19
0.65111315,0.26737362,108.75004,10.875004,156.51439,34.06218,385.3848,-396.1952,285.51584,118.87481,-1204.4385,-383.89355,282.7821,121.908066,-1196.3617,-1.2766643,2.4872632,10.534592,-12.182253,-0.0062990487,0.7486387,3.0342877,-2.368474,-0.44498262,0.25299856,0.17026803,-2.0366058,0.7938305,0.16534433,-91.71402820659758,-96.84320111799117,-146.28096068192738,42000,305000,0,174.07981484942138,11.31811092980206,6.107607343234122,191.50553312245756,3928.585543241352,20
