Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0014781564,0.006940145,99.43683,9.943683,36.549103,1.0791143,-1.018574,0.0019472886,0.000649213,0.0047305035,0.0005521397,-0.0030058068,0.00081198907,0.00020606571,-0.005426939,-2.000354,0.3767433,-0.8168609,-3.3958678,0.00075582846,0.0009511842,0.0024633496,-0.0012334869,3.8035192e-05,0.00088256254,0.0019856433,-0.0016821389,0.95441186,0.06665423,88.60356757297396,84.40065291675708,87.41021473242854,4000,205632,0,175.54172854218632,0,211.29605532810092,386.83778387028724,396.71311671473086,0
0.28211254,0.10636654,45.069447,4.5069447,423.6942,87.61233,-257.04706,205.54443,93.599266,420.45383,-27.182432,256.84402,70.84823,439.475,-62.235527,4.501082,2.7601426,15.332912,-6.517519,1.0180345,1.5898538,4.018411,-3.6311498,-0.70555013,0.22614145,-0.0791273,-1.6594421,1.1244398,0.022869658,82.52770235428349,90.50714865194531,87.75921404187886,8000,210784,0,182.5615894459188,9.87790035828948,4.921191529370844,197.36068133357912,597.5910283271223,1
1.8655857,0.21553218,129.86417,12.986417,2377.022,307.04092,-571.59174,496.0997,282.46686,942.1078,-90.07148,572.6483,253.88725,953.00305,-72.44745,4.8227105,3.2295618,19.85034,-5.269075,1.1106911,1.5179418,4.917173,-4.7268662,-0.8232147,0.41085884,0.46949512,-2.5835083,0.85211325,0.008507085,239.64862718180274,231.15964849816572,238.823909196144,12000,216191,0,172.71995673887432,13.395216108299792,4.747100791893899,190.862273639068,786.2860620226711,2
0.39398205,0.0091528995,99.97548,9.997548,2453.0173,1346.0741,-778.1586,681.7435,346.16187,1123.7756,-66.32561,793.47595,267.4473,1156.6763,-49.689598,5.3178873,3.2051682,20.5704,-5.750224,0.9558824,1.6919655,4.9940686,-4.8027105,-0.8745669,0.46855333,0.23390155,-3.19227,0.6192066,0.00407228,224.46989482446625,218.2717686878446,219.77471385878033,16000,221815,0,176.33649745117873,11.228624322451651,5.4224250596016645,192.98754683323205,982.0120656304061,3
0.32766256,0.0052233664,118.31857,11.831858,4145.4233,1849.3815,-1020.5842,900.8592,412.27597,1237.9634,-74.22297,1037.8372,284.79953,1271.12,-51.016586,4.6105294,3.335912,25.026417,-5.037135,0.76059216,1.6441408,5.280805,-6.1593122,-0.88401717,0.46960798,0.32819006,-3.4084563,0.47191992,0.0019583881,182.0489227297379,161.61078419853598,190.46942043617804,20000,226815,0,173.92989541776478,13.966395121067762,5.248288398608565,193.1445789374411,1170.5740721384063,4
0.42860967,0.010736258,136.51697,13.651697,3217.999,1032.666,-961.7574,854.3527,391.2907,1289.951,-84.838776,975.1273,282.4487,1304.2167,-77.54096,4.79429,3.4497788,22.77579,-7.901062,0.7365772,1.7443796,5.3894887,-4.1819663,-0.75519484,0.35118133,0.24620833,-3.7702725,0.389176,0.0011758705,170.5989454020599,167.92574410441628,184.80279809599193,24000,232341,0,177.37995932716876,9.383979965932667,3.962194338440895,190.72613363154233,1365.6304849972948,5
0.32097453,0.00666555,141.4609,14.1460905,3464.56,762.5634,-1035.5505,933.8353,383.4573,1337.9045,-25.238327,1039.5441,269.8314,1356.2297,-34.834103,4.434182,3.4088285,21.344788,-11.522424,0.85050595,1.6206325,5.4236555,-4.566893,-0.75951755,0.41085613,0.42101866,-4.214455,0.17737699,0.00034475175,141.60774799406175,117.21130866704841,164.7356965479077,28000,237801,0,170.35981448926032,13.714311828836799,5.707644964568317,189.78177128266543,1551.7973312046379,6
0.33487457,0.00088634866,160.47824,16.047825,2729.9011,810.1411,-1113.5787,977.51526,441.29785,1327.8573,-54.028576,1110.0133,297.2395,1341.3877,-27.162426,4.1328382,3.5461137,23.558128,-6.177519,0.90850294,1.5426167,5.6817575,-4.080546,-0.7552494,0.37888095,0.87260693,-3.9335933,0.2912181,0.00015963634,95.91413951041005,77.61524789260383,160.9623776682905,32000,243440,0,176.3084937185049,10.099656068719923,4.074539760127664,190.4826895473525,1746.2776969755068,7
0.3000833,0.00047569434,167.69412,16.769413,1719.2473,535.4244,-1050.958,943.82587,414.17426,1276.3351,-31.546316,1056.0771,290.3916,1280.6588,-48.95914,3.840057,3.515493,25.950436,-5.648693,0.77133507,1.5477923,6.516544,-3.9529264,-0.7523216,0.47167027,0.5581194,-3.7020035,0.4085465,0.00018436566,135.59275357387446,170.52825291815833,181.49961192681556,36000,249026,0,172.8986655175686,14.097079815343022,6.03696065954864,193.03270599246025,1934.5545993056148,8
0.45853072,0.0012306191,195.47473,19.547474,2597.2856,755.3759,-1061.8221,965.0381,412.7233,1302.6904,-46.423786,1070.1708,300.0265,1306.5968,-30.341272,3.5730393,3.3599772,22.263973,-8.502381,0.35101852,1.6266831,5.878023,-4.21107,-0.80690867,0.47844416,0.53084517,-3.877172,0.2835646,0.00028748863,64.47758907127178,40.14771909622901,47.79391093440242,40000,254669,0,173.02903730422258,9.341413705609739,4.0811920296400785,186.4516430394724,2126.6119115892798,9
