Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.004205292,0.0069292784,99.472664,9.947267,15.824902,16.647705,-4.041343,-0.002273932,0.001978151,0.0036318866,-0.0064566415,-0.00536022,0.0015956633,0.0022446713,-0.01093026,-4.027459,0.5213964,-2.0829601,-5.455325,0.00060929597,0.0016485485,0.004836728,-0.0034068003,-0.00012091098,0.0014985002,0.003991272,-0.0030749284,1.4356283,0.09140438,129.93414202015305,150.73861659944185,152.29175265756194,4000,205582,0,368.4924226878211,0,357.3229612801224,725.8153839679435,757.291628302075,0
1.1474409,0.4583746,46.208237,4.620824,277.79797,38.820335,-159.35739,129.0681,60.866817,221.15674,-21.940708,159.66544,42.710793,237.04115,-8.937791,0.79806864,3.989502,16.601309,-10.41294,0.76199394,0.7099296,3.0274472,-2.3267155,-0.5126842,0.23337267,-0.0015960373,-1.344916,0.19785812,0.009676434,59.518347707928704,133.20220678444093,46.04805909844909,8000,211100,0,353.1385877812281,31.478882458992302,11.321768126450479,395.9392383666709,1150.3611887162551,1
0.6838272,0.07651494,61.005913,6.100591,797.82666,118.53715,-292.39996,257.2936,110.52878,386.10855,-19.791218,298.2144,75.60864,407.4794,-6.457988,0.13418639,4.4432883,20.246964,-8.683519,0.5942699,0.7809937,3.6281695,-2.674109,-0.4524184,0.25757945,0.066456914,-1.5083834,0.6150184,0.008067066,126.20406658730649,122.70932093718045,137.51681264133913,12000,216495,0,352.0501947440207,28.611656895838678,12.043225407600403,392.7050770474598,1540.996448927559,2
0.4960126,0.06253443,68.231346,6.823135,670.0962,170.90344,-368.6749,330.88812,130.06926,509.36697,-82.16134,362.8722,93.41927,501.8697,-17.378605,-0.36805588,4.4779987,24.129278,-8.325529,0.43274084,0.79843295,3.8525052,-2.7498262,-0.42676994,0.285845,0.07301921,-1.9161402,1.7852118,0.014660945,103.09347096672025,131.43240432326283,136.97279275639303,16000,222084,0,350.3985736798495,26.5393926249817,11.850928423926234,388.78889472875744,1931.5634752130136,3
0.69521457,0.06271209,72.073715,7.2073717,937.71716,441.15952,-421.8064,376.14478,161.5714,547.67523,-43.67588,430.0337,107.15139,561.03485,-5.9798527,0.27383876,5.4461775,27.05452,-8.235058,0.53498596,0.8353415,3.9042165,-3.22539,-0.4764071,0.32276088,0.18484883,-2.1978662,1.9962838,0.011311161,141.58625628522128,178.26245066511675,140.0789776766723,20000,227602,0,350.1097822608426,28.317554522305727,11.270390591584146,389.6977273747325,2324.2005602307618,4
1.5375104,0.069903925,89.18317,8.918317,916.3481,393.6749,-466.59604,425.00937,165.36017,622.1621,-42.25633,474.31592,114.77615,632.72485,-9.288543,0.16646695,5.0045295,30.033726,-8.750708,0.5421168,0.8152431,4.2214274,-6.4376607,-0.4872068,0.311504,0.07115087,-2.679171,1.1167581,0.0053181136,134.3439489037605,167.66499150110207,141.9687282191079,24000,233082,0,350.3411114057526,31.25901783723384,12.649911768734455,394.2500410117209,2716.8403004901484,5
0.8231307,0.030339563,102.452034,10.245204,1511.3271,367.3584,-507.6147,454.25186,186.1318,618.2067,-31.203714,512.9397,125.58415,618.3784,-10.043001,0.40444738,4.5595345,27.807735,-7.829022,0.47490737,0.8660418,3.8382783,-4.7633047,-0.5004293,0.35068545,0.12400457,-2.8988779,1.2843002,0.004454282,97.75621486030954,183.84304702329678,143.30530456748798,28000,238858,0,265.57265492901206,29.647024989128113,12.534516215324402,307.7541961334646,3016.1019194722176,6
1.2919756,0.029180061,110.003334,11.000334,981.6908,272.8005,-538.7238,485.20605,199.3642,686.56647,-48.93951,543.24567,143.89355,690.22394,-34.72759,0.6520628,4.7515817,28.509205,-12.575975,0.48535508,0.90485764,4.091387,-4.3479643,-0.5150127,0.32856292,0.1514636,-2.2600229,0.95708686,0.0031989198,118.75821429879318,138.15509485425332,144.57586142441173,32000,244333,0,323.86603828240186,21.154273367486894,8.64883905928582,353.6691507091746,3374.210098597221,7
0.6819018,0.024414798,119.26013,11.926013,846.5951,302.60184,-546.36584,494.84775,211.56546,697.4635,-53.74148,543.02374,156.6651,710.2225,-23.225927,0.7895626,4.925527,33.34028,-9.943741,0.50928986,0.92145574,4.333735,-6.75825,-0.4829412,0.33217424,0.22974372,-2.326302,1.1975619,0.0026443282,179.18317692832403,182.007043233198,197.95979647105938,36000,249809,0,341.07533775735646,25.59336806088686,10.716862203553319,377.38556802179664,3754.846258292906,8
0.85584575,0.02302693,114.13259,11.4132595,879.53735,441.40137,-570.4668,508.38055,223.39082,718.97815,-99.3917,575.93567,158.78458,736.9917,-13.146441,0.68762815,5.1119833,27.721231,-10.908471,0.6040381,0.85555184,4.0046926,-6.1403074,-0.48276955,0.30411375,0.19560981,-2.485351,0.7038098,0.0013994987,155.51127296577528,168.50384314435217,217.55760800640027,40000,255430,0,352.28522356506437,28.844091470353305,12.214237346313894,393.34355238173157,4148.313271326944,9
